W021,None,{'station': 'W021', 'az': 220.889, 'dist': '13.6971', 'pga': 1.615, 'date': '2011-11-30', 'time': '06:48:01'}
W042,None,{'station': 'W042', 'az': 6.40969, 'dist': '111.84', 'pga': 0.359, 'date': '2011-11-30', 'time': '06:48:01'}
W059,None,{'station': 'W059', 'az': 230.832, 'dist': '130.852', 'pga': 0.479, 'date': '2011-11-30', 'time': '06:48:01'}
W072,None,{'station': 'W072', 'az': 287.701, 'dist': '67.6315', 'pga': 0.837, 'date': '2011-11-30', 'time': '06:48:01'}
W077,None,{'station': 'W077', 'az': 271.768, 'dist': '93.4029', 'pga': 0.419, 'date': '2011-11-30', 'time': '06:48:01'}
W078,None,{'station': 'W078', 'az': 274.564, 'dist': '69.5947', 'pga': 0.419, 'date': '2011-11-30', 'time': '06:48:01'}
W079,None,{'station': 'W079', 'az': 282.297, 'dist': '76.501', 'pga': 0.419, 'date': '2011-11-30', 'time': '06:48:01'}
W07E,None,{'station': 'W07E', 'az': 283.242, 'dist': '96.3107', 'pga': 0.359, 'date': '2011-11-30', 'time': '06:48:01'}
W07F,None,{'station': 'W07F', 'az': 287.974, 'dist': '61.9257', 'pga': 0.658, 'date': '2011-11-30', 'time': '06:48:01'}
W083,None,{'station': 'W083', 'az': 312.441, 'dist': '56.0107', 'pga': 1.196, 'date': '2011-11-30', 'time': '06:48:01'}
W084,None,{'station': 'W084', 'az': 283.611, 'dist': '68.8518', 'pga': 0.299, 'date': '2011-11-30', 'time': '06:48:01'}
W087,None,{'station': 'W087', 'az': 257.513, 'dist': '76.9216', 'pga': 0.419, 'date': '2011-11-30', 'time': '06:48:01'}
W08A,None,{'station': 'W08A', 'az': 278.317, 'dist': '97.4859', 'pga': 0.538, 'date': '2011-11-30', 'time': '06:48:01'}
W08E,None,{'station': 'W08E', 'az': 274.575, 'dist': '92.2421', 'pga': 0.419, 'date': '2011-11-30', 'time': '06:48:01'}
W095,None,{'station': 'W095', 'az': 276.203, 'dist': '101.744', 'pga': 0.359, 'date': '2011-11-30', 'time': '06:48:01'}
W096,None,{'station': 'W096', 'az': 297.281, 'dist': '84.2056', 'pga': 0.658, 'date': '2011-11-30', 'time': '06:48:01'}
W001,None,{'station': 'W001', 'az': 1.86559, 'dist': '46.7511', 'pga': 2.213, 'date': '2011-12-02', 'time': '00:55:24'}
W003,None,{'station': 'W003', 'az': 10.8366, 'dist': '93.9909', 'pga': 1.376, 'date': '2011-12-02', 'time': '00:55:24'}
W008,None,{'station': 'W008', 'az': 13.6196, 'dist': '105.639', 'pga': 0.598, 'date': '2011-12-02', 'time': '00:55:24'}
W00A,None,{'station': 'W00A', 'az': 9.43089, 'dist': '83.7205', 'pga': 1.974, 'date': '2011-12-02', 'time': '00:55:24'}
W00F,None,{'station': 'W00F', 'az': 14.9955, 'dist': '111.188', 'pga': 0.658, 'date': '2011-12-02', 'time': '00:55:24'}
W014,None,{'station': 'W014', 'az': 13.5225, 'dist': '126.417', 'pga': 1.017, 'date': '2011-12-02', 'time': '00:55:24'}
W015,None,{'station': 'W015', 'az': 5.92536, 'dist': '77.6865', 'pga': 0.837, 'date': '2011-12-02', 'time': '00:55:24'}
